Country Name,2010,2008,2010,2008,Country ID,latitude,longitude
Trinidad and Tobago,58068.7624,54553.4709,40546766248,40265505814,197,10.691803,-61.222503
Tunisia,37649.97347,35101.99196,1.08E+11,99337463353,198,33.886917,9.537499
Turkey,422721.8742,399181.904,1.26E+12,1.13E+12,199,38.963745,35.243322
Turkmenistan,87379.66852,91468.9779,49908653557,42257926348,200,38.969719,59.556278
Tuvalu,5.109678415,5.0625602,30806737.5,32510673.05,202,-7.109535,177.64933
Uganda,79906.21027,89206.67,67181317651,58414797030,203,1.373333,32.290275
Ukraine,393092.0594,436817.125,3.78E+11,4.19E+11,204,48.379433,31.16558
United Arab Emirates,193127.1576,181388.5363,5.55E+11,5.65E+11,205,24.0002488,53.9994829
United Kingdom,609586.561,635417.1726,2.28E+12,2.27E+12,206,55.378051,-3.435973
United States,6713348.969,6648991.2,1.50E+13,1.47E+13,207,37.09024,-95.712891
Uruguay,33285.19663,34052.25,56493159592,49315649642,208,-32.522779,-55.765835
Uzbekistan,172722.6657,183949.988,1.46E+11,1.23E+11,209,41.377491,64.585262
Vanuatu,433.7658416,448.64291,682351771,637538585.7,210,-15.376706,166.959158
"Venezuela, RB",268746.1951,271197.403,4.76E+11,4.90E+11,211,-0.2234693,-78.5143554
Vietnam,278994.36,255549.534,3.71E+11,3.24E+11,212,14.058324,108.277199
Virgin Islands (U.S.),60.21220771,53.838381,3.71E+11,3.24E+11,213,18.335765,-64.896335
West Bank and Gaza,61.21220771,54.838381,13569930327,11333031638,214,31.5077213,34.4607415
"Yemen, Rep.",38865.29243,36800.226,96372554585,84513161737,215,15.552727,48.516388
Zambia,319784.6304,321163.519,43251692414,35220975666,216,-13.133897,27.849332
Zimbabwe,71019.11673,68840.706,23247347489,17011604888,217,-19.015438,29.154857
Arab World,1924244.973,2364088.663,5.33E+12,4.96E+12,218,25.22583,55.169788
Caribbean small states,86416.42133,84746.40009,1.01E+11,1.01E+11,219,44.21769,-112.384727
Central Europe and the Baltics,991582.7722,1013348.763,2.17E+12,2.06E+12,220,51.443089,-2.56778
Early-demographic dividend,8437475.166,8414829.011,2.02E+13,1.81E+13,221,14.671079,121.018265
East Asia & Pacific,16955987.61,15695448.02,2.59E+13,2.27E+13,222,14.41853,121.034859
